idDeputato,idGruppo,DisegnidiLegge,InterrogazioniParlamentari,InterpellanzeParlamentari,Mozioni,Ordinidelgiorno,DisegnidiLegge_co,InterrogazioniParlamentari_co,InterpellanzeParlamentari_co,Mozioni_co,Ordinidelgiorno_co,uriDeputato
32,196,11,13,1,2,2,19,2,1,8,12,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=32
73,196,4,4,0,2,2,24,20,1,23,15,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=73
692,196,14,5,1,3,2,18,0,1,14,8,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=692
695,196,2,10,0,1,4,1,0,0,0,4,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=695
713,196,19,0,0,1,12,34,13,3,25,32,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=713
720,196,15,46,2,1,9,30,5,2,17,16,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=720
729,196,13,46,1,2,9,46,44,6,23,32,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=729
764,196,7,4,1,3,12,32,0,0,14,34,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=764
767,196,19,10,0,1,2,36,2,0,16,22,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=767
816,196,7,25,3,9,9,30,4,2,26,26,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=816
817,196,8,8,0,4,6,70,15,0,27,32,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=817
818,196,6,27,0,6,0,42,6,0,21,24,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=818
820,196,17,29,4,4,4,36,3,1,17,17,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=820
825,196,9,44,3,6,6,40,9,1,26,29,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=825
831,196,6,8,0,4,2,34,5,0,23,23,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=831
857,196,4,15,1,4,2,38,17,1,23,40,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=857
860,196,2,3,0,2,0,31,21,1,26,39,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=860
821,197,25,78,15,30,9,147,1009,289,227,99,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=821
822,197,5,87,23,10,0,159,998,280,242,100,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=822
823,197,12,67,35,15,8,153,1058,260,238,87,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=823
824,197,6,44,3,10,2,159,1042,300,244,92,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=824
835,197,9,76,19,12,2,155,1015,283,244,100,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=835
839,197,11,99,48,44,23,156,991,255,214,77,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=839
844,197,8,95,15,11,8,154,976,276,240,90,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=844
851,197,4,74,41,7,6,167,1018,262,251,91,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=851
855,197,11,60,26,12,7,155,1028,276,243,89,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=855
858,197,10,60,6,5,1,154,1022,297,250,97,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=858
862,197,21,65,3,12,1,155,1024,296,241,91,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=862
866,197,13,78,40,18,18,151,1026,263,236,82,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=866
867,197,26,153,22,54,14,141,928,280,204,79,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=867
884,197,11,64,8,11,1,138,911,267,224,88,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=884
473,200,5,29,0,9,1,36,74,16,63,45,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=473
757,200,8,23,1,1,0,11,26,0,11,1,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=757
760,200,2,71,11,4,28,36,90,18,67,50,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=760
847,200,31,61,16,40,30,21,48,0,25,15,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=847
710,201,0,3,0,0,0,6,6,4,1,9,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=710
778,201,21,25,11,4,9,41,8,2,24,37,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=778
826,201,2,4,1,0,8,27,17,6,16,30,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=826
841,201,8,36,11,11,9,41,48,6,49,41,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=841
761,206,15,18,4,8,18,27,22,1,26,39,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=761
849,206,12,13,1,5,2,32,11,1,23,26,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=849
86,208,1,10,0,0,16,30,58,0,52,33,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=86
725,208,8,12,0,8,5,47,32,0,12,13,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=725
727,208,42,44,8,9,6,24,4,2,14,23,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=727
753,208,27,177,12,39,60,80,78,2,67,72,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=753
755,208,10,29,1,1,0,34,71,1,46,19,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=755
819,208,9,111,0,29,2,75,111,4,90,69,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=819
840,208,11,56,1,5,4,49,46,1,58,23,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=840
848,208,7,41,1,5,1,39,72,1,55,25,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=848
881,208,2,7,0,2,9,43,72,0,56,45,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=881
893,208,0,21,0,1,1,19,47,1,55,13,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=893
912,208,0,2,0,0,0,0,0,0,0,0,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=912
701,213,7,14,0,4,0,39,61,9,17,16,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=701
805,213,5,25,9,0,1,13,4,0,2,4,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=805
827,213,7,22,0,12,0,29,3,0,17,9,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=827
776,214,3,18,1,2,0,25,8,2,30,22,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=776
784,214,4,26,0,8,0,33,16,1,14,16,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=784
842,214,11,3,0,0,0,42,21,3,19,18,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=842
846,214,26,5,2,3,1,29,22,0,18,15,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=846
861,214,2,14,0,0,2,36,13,1,25,14,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=861
742,216,9,24,1,3,0,22,3,1,26,13,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=742
830,216,6,6,2,4,9,24,11,2,29,61,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=830
850,216,1,10,1,1,1,13,4,3,16,12,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=850
45,220,6,14,6,2,4,50,220,61,32,28,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=45
854,220,18,192,54,17,1,39,56,19,14,20,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=854
909,220,0,7,0,0,0,0,41,11,3,1,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=909
79,221,5,13,0,3,2,28,5,0,20,24,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=79
752,221,15,2,0,4,0,30,2,1,11,11,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=752
843,221,2,3,1,0,0,30,11,1,38,18,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=843
865,221,3,35,0,2,2,26,3,1,21,13,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=865
95,222,66,28,1,5,4,43,18,0,14,25,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=95
836,222,18,150,1,11,8,49,103,5,65,54,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=836
845,222,8,24,0,4,2,56,31,1,24,25,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=845
885,222,3,31,0,1,5,47,47,0,36,21,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=885
