idGruppo,idDeputato,DisegnidiLegge_co,InterrogazioniParlamentari_co,InterpellanzeParlamentari_co,Mozioni_co,Ordinidelgiorno_co,uriDeputato
224,16,1,0,0,0,0,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=16
223,28,42,13,2,15,26,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=28
196,32,19,2,1,8,12,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=32
220,45,50,220,61,32,28,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=45
200,473,36,74,16,63,45,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=473
196,692,18,0,1,14,8,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=692
196,695,1,0,0,0,4,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=695
213,701,39,61,9,17,16,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=701
225,702,34,24,1,32,31,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=702
201,710,6,6,4,1,9,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=710
196,713,34,13,3,25,32,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=713
196,720,30,5,2,17,16,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=720
208,725,47,32,0,12,13,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=725
208,727,24,4,2,14,23,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=727
196,729,46,44,6,23,32,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=729
196,73,24,20,1,23,15,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=73
216,742,22,3,1,26,13,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=742
221,752,30,2,1,11,11,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=752
208,753,80,78,2,67,72,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=753
208,755,34,71,1,46,19,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=755
200,757,11,26,0,11,1,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=757
224,758,14,11,1,11,9,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=758
200,760,36,90,18,67,50,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=760
206,761,27,22,1,26,39,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=761
196,764,32,0,0,14,34,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=764
196,767,36,2,0,16,22,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=767
223,771,35,2,3,25,28,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=771
225,775,135,68,0,43,66,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=775
214,776,25,8,2,30,22,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=776
201,778,41,8,2,24,37,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=778
223,780,39,18,1,11,11,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=780
214,784,33,16,1,14,16,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=784
221,79,28,5,0,20,24,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=79
213,805,13,4,0,2,4,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=805
196,816,30,4,2,26,26,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=816
196,817,70,15,0,27,32,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=817
196,818,42,6,0,21,24,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=818
208,819,75,111,4,90,69,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=819
196,820,36,3,1,17,17,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=820
197,821,147,1009,289,227,99,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=821
197,822,159,998,280,242,100,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=822
197,823,153,1058,260,238,87,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=823
197,824,159,1042,300,244,92,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=824
196,825,40,9,1,26,29,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=825
201,826,27,17,6,16,30,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=826
213,827,29,3,0,17,9,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=827
216,830,24,11,2,29,61,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=830
196,831,34,5,0,23,23,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=831
197,835,155,1015,283,244,100,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=835
222,836,49,103,5,65,54,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=836
225,838,54,49,0,49,38,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=838
197,839,156,991,255,214,77,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=839
208,840,49,46,1,58,23,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=840
201,841,41,48,6,49,41,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=841
214,842,42,21,3,19,18,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=842
221,843,30,11,1,38,18,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=843
197,844,154,976,276,240,90,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=844
222,845,56,31,1,24,25,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=845
214,846,29,22,0,18,15,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=846
200,847,21,48,0,25,15,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=847
208,848,39,72,1,55,25,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=848
206,849,32,11,1,23,26,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=849
216,850,13,4,3,16,12,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=850
197,851,167,1018,262,251,91,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=851
223,852,45,15,1,23,10,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=852
223,853,49,12,2,31,23,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=853
220,854,39,56,19,14,20,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=854
197,855,155,1028,276,243,89,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=855
196,857,38,17,1,23,40,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=857
197,858,154,1022,297,250,97,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=858
224,859,41,24,0,14,18,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=859
196,860,31,21,1,26,39,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=860
214,861,36,13,1,25,14,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=861
197,862,155,1024,296,241,91,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=862
223,864,29,115,36,32,24,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=864
221,865,26,3,1,21,13,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=865
197,866,151,1026,263,236,82,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=866
197,867,141,928,280,204,79,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=867
208,86,30,58,0,52,33,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=86
208,881,43,72,0,56,45,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=881
197,884,138,911,267,224,88,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=884
222,885,47,47,0,36,21,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=885
208,893,19,47,1,55,13,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=893
222,905,10,13,0,6,7,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=905
220,909,0,41,11,3,1,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=909
225,910,7,7,0,10,0,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=910
208,912,0,0,0,0,0,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=912
222,95,43,18,0,14,25,http://www.ars.sicilia.it/deputati/scheda.jsp?idLegis=16&idDeputato=95
